Fecha,Gasolina 95,Gasolina 98,Diésel,Diésel Premium,GLP
2026-03-30,1.5467,1.6854,1.7767,1.8631,0.9247
2026-03-31,1.5469,1.6861,1.7786,1.8660,0.9248
2026-04-01,1.5511,1.6964,1.7880,1.8781,0.9260
2026-04-02,1.5519,1.6970,1.7920,1.8813,0.9291
2026-04-03,1.5527,1.6971,1.7949,1.8847,0.9296
2026-04-04,1.5565,1.6974,1.8010,1.8898,0.9303
2026-04-05,1.5601,1.7039,1.8155,1.9044,0.9309
2026-04-06,1.5603,1.7050,1.8231,1.9147,0.9314
2026-04-07,1.5640,1.7086,1.8519,1.9464,0.9383
2026-04-08,1.5688,1.7110,1.8901,1.9818,0.9808
2026-04-09,1.5668,1.7077,1.8960,1.9889,0.9871
2026-04-10,1.5580,1.6983,1.8820,1.9723,0.9932
2026-04-11,1.5475,1.6880,1.8679,1.9576,0.9975
2026-04-12,1.5449,1.6856,1.8577,1.9467,0.9979
2026-04-13,1.5435,1.6847,1.8551,1.9436,0.9981
2026-04-14,1.5396,1.6822,1.8475,1.9339,0.9999
2026-04-15,1.5372,1.6807,1.8421,1.9295,1.0010
2026-04-16,1.5316,1.6752,1.8254,1.9117,1.0095
2026-04-17,1.5239,1.6709,1.8078,1.8950,1.0104
2026-04-18,1.5175,1.6654,1.7947,1.8813,1.0112
